figure_id,text,font_family,font_size_pt,hard_minimum_pass,times_new_roman_pass
Figure 6,1.2,Times New Roman,11.0,1,1
Figure 6,1.2,Times New Roman,11.0,1,1
Figure 6,Mixed subspace evidence,Times New Roman,11.5,1,1
Figure 6,dominance gate,Times New Roman,11.0,1,1
Figure 6,bottom-3 dir.,Times New Roman,11.0,1,1
Figure 6,bottom-3 resp.,Times New Roman,11.0,1,1
Figure 6,equal-P dir.,Times New Roman,11.0,1,1
Figure 6,equal-P resp.,Times New Roman,11.0,1,1
Figure 6,(c),Times New Roman,12.0,1,1
Figure 6,scaled amplitude,Times New Roman,11.0,1,1
Figure 6,1e-9,Times New Roman,11.0,1,1
Figure 6,1e-9,Times New Roman,11.0,1,1
Figure 6,1e-7,Times New Roman,11.0,1,1
Figure 6,1e-7,Times New Roman,11.0,1,1
Figure 6,1e-5,Times New Roman,11.0,1,1
Figure 6,1e-5,Times New Roman,11.0,1,1
Figure 6,1e-3,Times New Roman,11.0,1,1
Figure 6,1e-3,Times New Roman,11.0,1,1
Figure 6,1e-1,Times New Roman,11.0,1,1
Figure 6,1e-1,Times New Roman,11.0,1,1
Figure 6,1e1,Times New Roman,11.0,1,1
Figure 6,1e1,Times New Roman,11.0,1,1
Figure 6,nonlinear contribution fraction,Times New Roman,11.0,1,1
Figure 6,−0.2,Times New Roman,11.0,1,1
Figure 6,−0.2,Times New Roman,11.0,1,1
Figure 6,0.0,Times New Roman,11.0,1,1
Figure 6,0.0,Times New Roman,11.0,1,1
Figure 6,0.2,Times New Roman,11.0,1,1
Figure 6,0.2,Times New Roman,11.0,1,1
Figure 6,0.4,Times New Roman,11.0,1,1
Figure 6,0.4,Times New Roman,11.0,1,1
Figure 6,0.6,Times New Roman,11.0,1,1
Figure 6,0.6,Times New Roman,11.0,1,1
Figure 6,0.8,Times New Roman,11.0,1,1
Figure 6,0.8,Times New Roman,11.0,1,1
Figure 6,1.0,Times New Roman,11.0,1,1
Figure 6,1.0,Times New Roman,11.0,1,1
Figure 6,1.2,Times New Roman,11.0,1,1
Figure 6,1.2,Times New Roman,11.0,1,1
Figure 6,Nonlinear remainder,Times New Roman,11.5,1,1
Figure 6,N1/U,Times New Roman,11.0,1,1
Figure 6,N1/P,Times New Roman,11.0,1,1
Figure 6,N2/P,Times New Roman,11.0,1,1
Figure 6,dominance gate,Times New Roman,11.0,1,1
Figure 6,log10(entry radius),Times New Roman,11.0,1,1
Figure 6,−4.0,Times New Roman,11.0,1,1
Figure 6,−4.0,Times New Roman,11.0,1,1
Figure 6,−3.5,Times New Roman,11.0,1,1
Figure 6,−3.5,Times New Roman,11.0,1,1
Figure 6,−3.0,Times New Roman,11.0,1,1
Figure 6,−3.0,Times New Roman,11.0,1,1
Figure 6,−2.5,Times New Roman,11.0,1,1
Figure 6,−2.5,Times New Roman,11.0,1,1
Figure 6,−2.0,Times New Roman,11.0,1,1
Figure 6,−2.0,Times New Roman,11.0,1,1
